Date,"Capybara"
2025-01-01,9189
2025-01-02,7474
2025-01-03,6915
2025-01-04,7132
2025-01-05,7142
2025-01-06,7430
2025-01-07,6629
2025-01-08,7322
2025-01-09,7111
2025-01-10,7361
2025-01-11,7844
2025-01-12,8033
2025-01-13,8457
2025-01-14,9640
2025-01-15,8945
2025-01-16,8865
2025-01-17,8442
2025-01-18,8438
2025-01-19,8740
2025-01-20,7383
2025-01-21,6965
2025-01-22,16878
2025-01-23,7803
2025-01-24,7288
2025-01-25,7352
2025-01-26,7363
2025-01-27,7050
2025-01-28,7301
2025-01-29,7737
2025-01-30,7952
2025-01-31,7630
2025-02-01,7245
2025-02-02,8571
2025-02-03,7105
2025-02-04,7127
2025-02-05,7488
2025-02-06,7884
2025-02-07,8110
2025-02-08,7445
2025-02-09,7479
2025-02-10,6696
2025-02-11,6680
2025-02-12,6736
2025-02-13,6768
2025-02-14,8188
2025-02-15,10777
2025-02-16,11288
2025-02-17,9041
2025-02-18,8707
2025-02-19,8236
2025-02-20,8412
2025-02-21,8397
2025-02-22,9245
2025-02-23,10756
2025-02-24,9006
2025-02-25,9136
2025-02-26,8118
2025-02-27,8886
2025-02-28,8473
2025-03-01,9590
2025-03-02,11196
2025-03-03,12300
2025-03-04,9964
2025-03-05,8701
2025-03-06,8857
2025-03-07,9658
2025-03-08,10541
2025-03-09,11142
2025-03-10,9292
2025-03-11,8940
2025-03-12,8667
2025-03-13,8998
2025-03-14,8546
2025-03-15,9379
2025-03-16,9843
2025-03-17,9038
2025-03-18,8075
2025-03-19,7911
2025-03-20,7845
2025-03-21,7851
2025-03-22,8148
2025-03-23,8687
2025-03-24,8341
2025-03-25,7688
2025-03-26,8043
2025-03-27,7751
2025-03-28,8107
2025-03-29,7524
2025-03-30,8520
2025-03-31,8051
2025-04-01,7737
2025-04-02,7456
2025-04-03,7148
2025-04-04,7507
2025-04-05,7520
2025-04-06,7732
2025-04-07,7901
2025-04-08,7245
2025-04-09,6832
2025-04-10,6972
2025-04-11,7036
2025-04-12,8043
2025-04-13,8486
2025-04-14,8302
2025-04-15,7502
2025-04-16,7204
2025-04-17,8289
2025-04-18,7553
2025-04-19,7058
2025-04-20,8077
2025-04-21,6792
2025-04-22,6308
2025-04-23,6530
2025-04-24,6348
2025-04-25,6713
2025-04-26,6224
2025-04-27,6462
2025-04-28,6565
2025-04-29,6559
2025-04-30,6469
2025-05-01,6523
2025-05-02,6823
2025-05-03,6065
2025-05-04,6131
2025-05-05,6461
2025-05-06,6320
2025-05-07,6586
2025-05-08,6786
2025-05-09,6506
2025-05-10,6479
2025-05-11,6905
2025-05-12,6851
2025-05-13,6678
2025-05-14,6944
2025-05-15,6720
2025-05-16,6319
2025-05-17,6279
2025-05-18,6501
2025-05-19,6357
2025-05-20,6329
2025-05-21,6280
2025-05-22,6324
2025-05-23,6833
2025-05-24,7312
2025-05-25,6654
2025-05-26,6525
2025-05-27,6352
2025-05-28,6647
2025-05-29,6568
2025-05-30,6608
2025-05-31,6364
2025-06-01,7946
2025-06-02,8035
2025-06-03,7115
2025-06-04,8973
2025-06-05,8079
2025-06-06,7866
2025-06-07,8010
2025-06-08,7485
2025-06-09,6958
2025-06-10,6494
2025-06-11,7251
2025-06-12,8035
2025-06-13,7220
2025-06-14,8546
2025-06-15,7585
2025-06-16,7279
2025-06-17,6699
2025-06-18,6465
2025-06-19,6266
2025-06-20,6330
2025-06-21,6723
2025-06-22,7530
2025-06-23,6979
2025-06-24,7903
2025-06-25,6936
2025-06-26,7316
2025-06-27,7799
2025-06-28,7365
2025-06-29,7654
2025-06-30,6529
2025-07-01,6271
2025-07-02,6046
2025-07-03,5339
2025-07-04,5398
2025-07-05,5074
2025-07-06,5198
2025-07-07,4613
2025-07-08,4598
2025-07-09,4630
2025-07-10,9110
2025-07-11,6328
2025-07-12,5175
2025-07-13,5503
2025-07-14,5201
2025-07-15,5084
2025-07-16,5811
2025-07-17,4888
2025-07-18,4896
2025-07-19,5756
2025-07-20,5193
2025-07-21,5304
2025-07-22,4599
2025-07-23,4842
2025-07-24,4554
2025-07-25,4714
2025-07-26,5747
2025-07-27,5387
2025-07-28,5200
2025-07-29,5295
2025-07-30,4777
2025-07-31,4853
2025-08-01,5145
2025-08-02,5339
2025-08-03,5459
2025-08-04,5325
2025-08-05,5088
2025-08-06,4484
2025-08-07,4435
2025-08-08,4974
2025-08-09,4487
2025-08-10,4636
2025-08-11,4209
2025-08-12,3974
2025-08-13,3750
2025-08-14,3972
2025-08-15,4259
2025-08-16,4023
2025-08-17,4194
2025-08-18,4084
2025-08-19,4454
2025-08-20,4520
2025-08-21,4640
2025-08-22,4202
2025-08-23,4186
2025-08-24,4088
2025-08-25,4010
2025-08-26,3863
2025-08-27,3945
2025-08-28,3954
2025-08-29,3987
2025-08-30,4035
2025-08-31,3991
2025-09-01,3962
2025-09-02,3815
2025-09-03,3544
2025-09-04,3803
2025-09-05,3817
2025-09-06,3970
2025-09-07,3971
