Rank,Country,CO2_Emissions_tons_2022,Year_Change_percent,Population_2022,Per_Capita_tons,Share_of_World_percent
1,China,12667428430,-0.39,1425179569,888.83,32.88
2,United States,4853780240,1.78,341534046,1421.17,12.6
3,India,2693034100,6.52,1425423212,188.93,6.99
4,Russia,1909039310,-1.22,145579899,1311.33,4.96
5,Japan,1082645430,0.65,124997578,866.13,2.81
6,Indonesia,692236110,13.14,278830529,248.26,1.8
7,Iran,686415730,1.27,89524246,766.74,1.78
8,Germany,673595260,-0.84,84086227,801.08,1.75
9,South Korea,635502970,-1.15,51782512,1227.25,1.65
10,Saudi Arabia,607907500,2.93,32175352,1889.36,1.58
11,Canada,582072950,3.57,38821259,1499.37,1.51
12,Mexico,487774010,10.4,128613117,379.26,1.27
13,Turkey,481247520,3.1,87058473,552.79,1.25
14,Brazil,466770410,-7.3,210306415,221.95,1.21
15,South Africa,404974510,-3.34,62378410,649.22,1.05
16,Australia,393162550,1.31,26200984,1500.56,1.02
17,United Kingdom,340610260,0.46,68179315,499.58,0.88
18,Vietnam,327905620,-2.9,99680655,328.96,0.85
19,Italy,322948740,0.68,59619115,541.69,0.84
20,Poland,321954000,-1.61,38385739,838.73,0.84
21,France,315299470,-2.91,66277409,475.73,0.82
22,Thailand,282445820,2.23,71735329,393.73,0.73
23,Malaysia,277531770,6.5,34695493,799.91,0.72
24,Taiwan,275573980,-4.52,23420111,1176.66,0.72
25,Egypt,265961280,6.54,112618250,236.16,0.69
26,Spain,254363430,9.9,47828382,531.83,0.66
27,Kazakhstan,245886290,4.53,20034609,1227.31,0.64
28,United Arab Emirates,218799350,2.03,10242086,2136.28,0.57
29,Pakistan,199329850,-7.74,243700667,81.79,0.52
30,Iraq,193836310,7.73,44070551,439.83,0.5
31,Argentina,184037200,1.43,45407904,405.3,0.48
32,Algeria,177079430,-0.96,45477389,389.38,0.46
33,Philippines,155380930,6.32,113964338,136.34,0.4
34,Netherlands,134663630,-6.89,17904421,752.13,0.35
35,Ukraine,132541470,-26.57,41048766,322.89,0.34
36,Uzbekistan,132433520,3.7,34938955,379.04,0.34
37,Nigeria,122750410,-0.35,223150896,55.01,0.32
38,Kuwait,110119570,7.03,4589511,2399.37,0.29
39,Bangladesh,109075300,3.57,169384897,64.39,0.28
40,Qatar,102617980,-3.69,2892455,3547.78,0.27
41,Czech Republic (Czechia),101544650,1.25,10673213,951.4,0.26
42,Venezuela,96924940,9.84,28213017,343.55,0.25
43,Chile,92858760,-5.26,19553036,474.91,0.24
44,Oman,91649080,3.02,4730226,1937.52,0.24
45,Belgium,90414850,-7.01,11641820,776.64,0.23
46,Colombia,88469810,4.92,51737944,171.0,0.23
47,Romania,77289010,-3.54,19166772,403.24,0.2
48,Morocco,72642020,-4.2,37329064,194.6,0.19
49,Turkmenistan,69882930,1.83,7230193,966.54,0.18
50,Libya,62743000,-0.36,7223805,868.56,0.16
51,Israel,61771180,3.79,9103151,678.57,0.16
52,Peru,61610390,10.59,33475438,184.05,0.16
53,Austria,61174530,-6.68,9064677,674.87,0.16
54,Belarus,57411420,-3.74,9173237,625.86,0.15
55,Greece,56777160,4.82,10412480,545.28,0.15
56,North Korea,54403780,-0.78,26328845,206.63,0.14
57,Singapore,53439690,-2.96,5649885,945.85,0.14
58,Bulgaria,50103300,9.4,6825864,734.02,0.13
59,Hungary,47291880,-8.11,9684306,488.34,0.12
60,Ecuador,46106910,7.29,17823897,258.68,0.12
61,Norway,42283660,-4.43,5456801,774.88,0.11
62,Portugal,41281720,4.42,10417073,396.29,0.11
63,Bahrain,37955110,0.35,1533459,2475.13,0.1
64,Sweden,37850250,-0.48,10487338,360.91,0.1
65,Ireland,37785560,4.47,5110016,739.44,0.1
66,Myanmar,37394010,0.73,53756787,69.56,0.1
67,Finland,37324670,-4.42,5569299,670.19,0.1
68,Azerbaijan,37129640,-0.15,10295304,360.65,0.1
69,Switzerland,36105180,-1.31,8792182,410.65,0.09
70,Tunisia,35915380,2.18,12119334,296.35,0.09
71,Slovakia,35233230,-2.84,5473197,643.74,0.09
72,Hong Kong,32439160,-5.74,7465915,434.5,0.08
73,New Zealand,32371130,-6.29,5131734,630.8,0.08
74,Trinidad and Tobago,29217380,-0.16,1495921,1953.14,0.08
75,Denmark,29158760,-4.6,5902904,493.97,0.08
76,Syria,28237370,3.95,22462173,125.71,0.07
77,Cuba,24770800,2.53,11059820,223.97,0.06
78,Sudan,24523230,1.93,49383346,49.66,0.06
79,Ghana,24452990,1.6,33149152,73.77,0.06
80,Lebanon,23766110,4.46,5744489,413.72,0.06
81,Jordan,23578900,2.58,11256263,209.47,0.06
82,Dominican Republic,23456970,1.18,11230734,208.86,0.06
83,Mongolia,22095340,-0.3,3386015,652.55,0.06
84,Bolivia,21959530,0.42,12077154,181.83,0.06
85,Bosnia and Herzegovina,21826660,0.18,3204802,681.06,0.06
86,Kenya,21527440,2.85,54252461,39.68,0.06
87,Ethiopia,21106910,2.7,125384287,16.83,0.05
88,Angola,20185660,-6.38,35635029,56.65,0.05
89,Laos,20125910,-0.44,7559007,266.25,0.05
90,Guatemala,20090150,0.04,17847877,112.56,0.05
91,Sri Lanka,18535920,-12.44,22834965,81.17,0.05
92,Cambodia,17618910,0.58,17201724,102.43,0.05
93,Croatia,17224970,1.22,3907027,440.87,0.04
94,Tanzania,16978750,2.65,64711821,26.24,0.04
95,Nepal,15847310,0.65,29715436,53.33,0.04
96,Côte d'Ivoire,14491920,1.99,30395002,47.68,0.04
97,Slovenia,13946920,-2.34,2115228,659.36,0.04
98,Lithuania,13263810,-5.64,2816919,470.86,0.03
99,Puerto Rico,12616570,-1.9,3240968,389.28,0.03
100,Yemen,12263170,-0.22,38222876,32.08,0.03
101,Senegal,12074690,3.4,17651103,68.41,0.03
102,Georgia,12013890,0.71,3794784,316.59,0.03
103,Panama,11384020,4.73,4400773,258.68,0.03
104,Estonia,10847950,-6.77,1350091,803.5,0.03
105,Honduras,10612630,5.73,10463872,101.42,0.03
106,Tajikistan,10551280,1.31,10182222,103.62,0.03
107,Kyrgyzstan,10303360,1.44,6955788,148.13,0.03
108,Zimbabwe,10223730,6.06,16069056,63.62,0.03
109,Cameroon,10080190,-5.59,27632771,36.48,0.03
110,Mozambique,10028180,11.68,32656246,30.71,0.03
111,Paraguay,9932550,0.03,6760464,146.92,0.03
112,Benin,9619540,3.7,13759501,69.91,0.02
113,Brunei,9375650,-4.45,455370,2058.91,0.02
114,Zambia,9270700,4.56,20152938,46.0,0.02
115,Moldova,8652070,-6.09,3039985,284.61,0.02
116,Costa Rica,8608370,5.77,5081765,169.4,0.02
117,Uruguay,8541520,0.1,3390913,251.89,0.02
118,North Macedonia,8336480,-0.02,1840233,453.01,0.02
119,Botswana,8213720,21.79,2439892,336.64,0.02
120,El Salvador,7972430,5.62,6280319,126.94,0.02
121,Luxembourg,7586820,-12.07,653313,1161.28,0.02
122,Uganda,7540270,2.33,47312719,15.94,0.02
123,Cyprus,7460310,0.34,1331370,560.35,0.02
124,Congo,7435820,4.09,6035104,123.21,0.02
125,Mali,6725970,4.45,23072640,29.15,0.02
126,Latvia,6705370,-7.37,1881063,356.47,0.02
127,Armenia,6326530,-8.68,2880874,219.6,0.02
128,Jamaica,6083040,-0.18,2839144,214.26,0.02
129,Burkina Faso,5820480,3.99,22509038,25.86,0.02
130,Nicaragua,5734390,5.56,6730654,85.2,0.01
131,Afghanistan,5675770,0.65,40578842,13.99,0.01
132,Malawi,5627530,8.03,20568728,27.36,0.01
133,Gabon,5516570,-1.53,2430747,226.95,0.01
134,New Caledonia,5361860,0.76,287123,1867.44,0.01
135,Equatorial Guinea,5053870,-9.47,1803545,280.22,0.01
136,Papua New Guinea,4715910,2.23,10203169,46.22,0.01
137,Mauritania,4611630,4.49,4875637,94.59,0.01
138,Albania,4486220,2.94,2827608,158.66,0.01
139,Namibia,4287830,9.26,2889662,148.39,0.01
140,Mauritius,4281810,6.05,1276130,335.53,0.01
141,Guyana,3804000,1.67,821637,462.98,0.01
142,Guinea,3801720,3.92,14055137,27.05,0.01
143,Iceland,3558320,15.57,380356,935.52,0.01
144,DR Congo,3551810,-1.38,102396968,3.47,0.01
145,Haiti,3437040,3.81,11503606,29.88,0.01
146,Suriname,3289020,0.13,623164,527.79,0.01
147,Madagascar,3190000,4.31,30437261,10.48,0.01
148,Réunion,2736530,3.05,871540,313.99,0.01
149,Niger,2633180,2.59,25311973,10.4,0.01
150,Togo,2437950,2.8,9089738,26.82,0.01
151,Macao,2247400,1.61,704356,319.07,0.01
152,Maldives,2181070,2.34,524106,416.15,0.01
153,Chad,2110370,-0.66,18455316,11.44,0.01
154,Malta,1715420,2.44,528192,324.77,0.0
155,Bhutan,1712460,0.9,780914,219.29,0.0
156,Fiji,1692890,2.26,919422,184.13,0.0
157,Rwanda,1626440,2.55,13651030,11.91,0.0
158,Liberia,1622810,4.25,5373294,30.2,0.0
159,Bahamas,1446220,3.91,397538,363.79,0.0
160,Palau,1357050,2.12,17759,7641.48,0.0
161,Eswatini,1348890,13.5,1218917,110.66,0.0
162,Sierra Leone,1099700,4.08,8276807,13.29,0.0
163,Seychelles,1095060,1.86,125522,872.4,0.0
164,Cabo Verde,1015010,4.83,519741,195.29,0.0
165,French Polynesia,956700,2.32,280378,341.22,0.0
166,Somalia,940570,2.45,17801897,5.28,0.0
167,Burundi,924150,2.5,13321097,6.94,0.0
168,Guadeloupe,904520,3.27,384697,235.13,0.0
169,Martinique,899240,3.56,349459,257.32,0.0
170,Eritrea,804660,1.96,3409447,23.6,0.0
171,Lesotho,779000,9.18,2286110,34.08,0.0
172,Djibouti,761120,2.09,1137096,66.94,0.0
173,Barbados,674170,3.47,282318,238.8,0.0
174,Gibraltar,663620,3.59,37609,1764.52,0.0
175,Gambia,611740,4.81,2636470,23.2,0.0
176,Timor-Leste,572620,4.33,1369295,41.82,0.0
177,Greenland,465940,6.04,55990,832.18,0.0
178,Aruba,455060,3.91,107782,422.2,0.0
179,Samoa,355420,2.33,215261,165.11,0.0
180,French Guiana,354590,0.13,298306,118.87,0.0
181,Guinea-Bissau,350090,4.78,2105529,16.63,0.0
182,Comoros,342880,2.45,834188,41.1,0.0
183,Solomon Islands,318050,2.32,781066,40.72,0.0
184,Bermuda,317540,3.92,64749,490.42,0.0
185,Cayman Islands,307220,3.91,71591,429.13,0.0
186,Antigua and Barbuda,277650,3.91,92840,299.06,0.0
187,Central African Republic,276060,-6.02,5098039,5.42,0.0
188,Belize,269430,6.38,402733,66.9,0.0
189,Saint Lucia,254790,3.92,178781,142.52,0.0
190,Western Sahara,241500,0.16,568739,42.46,0.0
191,Vanuatu,218140,2.33,313046,69.68,0.0
192,Tonga,166860,2.33,105042,158.85,0.0
193,Sao Tome & Principe,157900,-6.33,226305,69.77,0.0
194,Grenada,122490,3.9,116913,104.77,0.0
195,Cook Islands,107800,2.35,14723,732.19,0.0
196,Saint Kitts & Nevis,101920,3.92,46709,218.2,0.0
197,Turks and Caicos,88360,3.9,45847,192.73,0.0
198,St. Vincent & Grenadines,82790,3.9,102046,81.13,0.0
199,Kiribati,73960,2.31,130469,56.69,0.0
200,Dominica,68810,3.83,66826,102.97,0.0
201,British Virgin Islands,64670,3.92,38319,168.77,0.0
202,Saint Pierre & Miquelon,37110,-1.46,5732,647.42,0.0
203,Anguilla,22810,3.63,14180,160.86,0.0
204,Falkland Islands,21770,0.14,3490,623.78,0.0
205,Saint Helena,17900,12.3,5343,335.02,0.0
206,Faeroe Islands,2110,0.48,54011,3.91,0.0
